query,answer
RRF 和交叉编码器 reranker 的差别是什么？,RRF 这类融合方法和交叉编码器 reranker 的核心差别在于计算位置与成本结构。RRF 不直接理解文本内容，它只利用多个候选列表中的名次做融合，因此便宜、稳定、无须额外模型，适合把多路召回快速合并。交叉编码器则会同时读取 query 和候选文本，做更细的语义判断，通常精度更高，但延迟和成本明显更大。工程上常见做法是先用 RRF 合并召回，再对前若干条做交叉重排。
如何用 LangSmith 建立最小可用评测闭环？,用 LangSmith 建最小可用评测闭环，最实用的顺序不是先追求复杂指标，而是先打通数据流。第一步给应用加 tracing，确保查询、检索、工具调用、模型输出都能被复盘；第二步从已有 runs 中抽样沉淀 dataset，把真实失败样本纳入；第三步在数据集上跑离线评测，至少覆盖正确性、相关性或 groundedness；第四步把关键 evaluator 挂到线上项目，持续监控回归。这个闭环一旦形成，后续优化才不是拍脑袋。
Agent 明明配置了工具却不调用，常见原因有哪些？,Agent 明明配置了工具却不调用，最常见的原因有五类。第一，模型本身工具调用能力弱或当前接口未启用该能力；第二，工具描述写得像实现说明，不像可决策的能力边界；第三，参数 schema 含糊，模型不知道该填什么；第四，系统提示鼓励直接回答，抑制了调用；第五，模型觉得已有上下文足够，误判为无需工具。排查时要同时看模型原始 tool call 提案、最终 answer 和 tool spec，而不是只看表面结果。
Function Calling 的 JSON schema 设计过宽会有什么问题？,Function Calling 的 schema 过宽，问题不只是风格不严谨，而是会直接降低可控性。字段过多、类型过松、必填约束不清，会让模型出现臆造参数、漏填关键字段、在多个近义字段间摇摆等问题。结果是工具层收到语法上可过、语义上不可用的请求。对测试集来说，最适合检验这类问题的样本不是开放问答，而是需要精确参数映射、默认值处理和边界输入校验的指令型任务。
为什么检索命中了相关片段，最终答案仍然幻觉？,检索命中了相关片段，最终答案仍然幻觉，并不罕见。常见原因包括：上下文里有多个近似答案而提示词没要求冲突消解；模型把先验知识和检索证据混写；拼接时把关键信息截断了；引用内容太多导致真正证据被稀释；或者答案格式要求过强，模型为了补全格式硬填未知字段。解决思路不是盲目换大模型，而是提升证据选择、约束回答边界、要求显式依据上下文作答，并在无证据时允许拒答。
RAG 系统如何区分不知道与没检到？,要区分不知道和没检到，系统必须把生成不确定性与检索置信号分开观测。一个实用做法是同时记录召回分数、重排分数、是否存在直接支持答案的片段、模型自评置信度和最终是否拒答。如果召回为空或高度无关，应归因于没检到；如果已检到高相关且有直接证据，但模型仍答错，则更可能是生成问题。没有这套分层信号，所有错误都会被模糊地归到模型幻觉，无法做精确优化。
如何为长答案数据集设计自动评测，避免只比字面相似度？,长答案任务不适合只用字符串完全匹配或 BLEU 之类浅层指标，因为合理答案可能有不同表述。更稳的自动评测方案是组合三层标准：第一层做结构校验，例如是否覆盖规定字段；第二层做关键点匹配，把必须出现的事实、条件、步骤拆成 checklist；第三层再用 LLM judge 或规则评估是否忠于参考材料、是否遗漏反例与边界。这样既保留自动化，又避免把表达差异误判成错误。
线上监控 RAG 时，至少应记录哪些字段才能做失败复盘？,线上复盘一个 RAG 失败案例，最少应留下这几类字段：原始 query、改写后的 query、路由结果、检索 topk 文本及其文档 ID、向量或重排分数、最终拼接给模型的上下文、系统提示与工具调用记录、模型输出、耗时与成本。如果还有版本信息，例如 embedding 模型版本、索引构建时间、提示词版本，就更好。没有这些元数据，很多线上问题只能看到错答案，却无法追溯到底是数据旧了、索引坏了还是提示词变了。
截至 2026 年 4 月，LangChain 官方为何强调 agents built on LangGraph？,截至 2026 年 4 月，LangChain 官方持续强调 agents built on LangGraph，不是为了宣传关系，而是因为 LangGraph 提供了上层代理真正需要的运行时能力：持久化、durable execution、human-in-the-loop、流式执行、状态化记忆和更强的调试支持。换句话说，LangChain 更像高层代理入口，LangGraph 更像状态机和工作流底座。理解这层关系后，测试集就可以分别考代理行为与编排基础设施两类能力。
截至 2026 年 4 月，LangChain v1 预置 middleware 中哪三类特别适合生产管控？,截至 2026 年 4 月，LangChain v1 的预置 middleware 里，最值得拿来做生产管控的至少有三组。第一组是 Summarization 或 context editing，用于控制上下文膨胀；第二组是 Human-in-the-loop，用于高风险工具审批；第三组是 PII detection、model fallback、tool 或 model call limit 这类安全与成本护栏。它们的共同点是都不直接改变业务答案，却显著影响稳定性、成本和合规性，因此非常适合作为测试集里的系统能力题。
截至 2026 年 4 月，LangGraph 持久化为何能支持 time travel 与 fault tolerance？,截至 2026 年 4 月，LangGraph 的持久化之所以能支撑 time travel 与 fault tolerance，是因为它把执行状态按线程和 checkpoint 持续保存下来，而不是只保留最后结果。这样一来，系统既能从上一次成功步骤继续运行，也能回看历史快照，甚至从某个旧 checkpoint 分叉出另一条执行轨迹。对调试 Agent 而言，这种能力非常关键，因为很多问题并不是最终答案错，而是中间某一步路由或工具结果在更早就已经偏了。
截至 2026 年 4 月，LlamaIndex IngestionPipeline 的一个关键工程特性是什么？,截至 2026 年 4 月，LlamaIndex IngestionPipeline 一个很实用的工程特性是把 transformation 作用在节点上，并支持缓存同一 node 与 transformation 的组合结果。配合 docstore 和 doc_id、document_hash 等机制，可以检测重复文档、跳过未变内容、只重处理发生变化的文档。这种设计非常适合知识库持续更新的生产场景，也适合测试索引增量更新是否正确这类常被忽略的 RAG 工程题。
RAG 评测里 recall 高但 answer correctness 低，通常说明什么？,当 retrieval recall 很高但 answer correctness 仍然低，通常说明问题已经不在有没有找到这一步，而在找到后有没有用对。常见归因包括重排不准导致最关键证据没有进入最终上下文、提示词没有要求严格依据证据回答、上下文过长被稀释、模型在多个证据冲突时没有执行消歧、或者答案需要结构化归纳而当前模型只做了表面摘录。此时继续盲目调大 topk 往往收益有限，应该把精力转向重排、上下文构造和生成约束。
RAG 评测里 answer correctness 高但 retrieval recall 低，是否一定说明系统好？,如果 answer correctness 看起来不错，但 retrieval recall 偏低，并不一定说明系统真的强。它可能只是碰巧被模型参数知识蒙对了，或者评测题本身答案过于常识化，不需要检索也能答。对于企业 RAG，这反而是风险信号，因为一旦问题换成时效性事实或内部专有知识，系统可能立刻失效。因此在测试设计里，不能只看最终答案对不对，还要看它是否依赖了正确证据，以及在无证据时会不会装懂。
如何把 MCP 纳入 Agent 测试集，而不是只测普通 Function Calling？,若要把 MCP 纳入 Agent 测试集，不能只出是否会调函数这种普通 function calling 题，而要覆盖协议级交互。至少应设计四类样本：一是服务器能力发现，能否正确区分 resources、tools、prompts；二是资源读取与 URI 选择，能否拿到对的上下文；三是 prompt template 参数填充，能否正确传参；四是 transport、认证、超时或权限失败后的退化行为。这样测到的是 Agent 对标准协议生态的适配能力，而不只是模型会不会拼 JSON。
MCP 与传统 Function Calling 的核心区别是什么？,MCP 与传统 Function Calling 的核心区别，在于抽象层级不同。Function Calling 通常描述的是某个模型本次可以调用哪些函数、参数 schema 是什么；MCP 描述的是客户端如何通过统一协议连接外部服务器，并发现、读取、调用其暴露的资源、提示模板和工具。前者更像单次推理里的调用格式，后者更像跨工具生态的连接标准。做测试时，前者重点看参数生成是否正确，后者还要看能力发现、认证、状态与协议兼容性。
SelectorGroupChat、RoundRobin、Swarm 的分工差异可以怎样理解？,若把 AutoGen 的多 Agent 组织方式做一个工程化理解：RoundRobin 像固定轮班，谁先说、谁后说提前写死，适合流程稳定的流水线；SelectorGroupChat 像中心调度器，每轮根据上下文挑下一个最合适的说话者，适合动态协作；Swarm 更像去中心化交接，当前 agent 可以把任务 handoff 给别的 agent，所有参与者共享消息上下文。三者差别不在谁更高级，而在调度权放在哪里、可控性与灵活性如何取舍。
多 Agent 一定比单 Agent 更好吗？如何制定准入标准？,多 Agent 并不天然优于单 Agent。它只有在任务存在明确角色分工、工具集差异、长流程状态管理或需要相互制衡时，才可能带来收益。否则你得到的往往只是更多 token 消耗、更复杂的 trace 和更难排查的失败链路。一个务实的准入标准是：先用单 Agent 跑出稳定基线，只有当错误类型明确指向需要拆角色、拆工具或拆上下文窗口时，再引入多 Agent。否则多代理更像复杂化，而不是能力升级。
如何针对 Prompt Injection 设计可自动判分样本？,针对 Prompt Injection 设计可自动判分样本时，关键不是写一句忽略前文，而是把恶意指令埋进更真实的载体里，例如网页正文、PDF 注释、知识库片段、工具返回字段或邮件附件摘要中。正确系统的预期输出应满足三点：识别该内容是不可信外部数据而非开发者指令；拒绝泄露系统提示或越权调用工具；继续完成用户原任务，或在风险过高时安全拒答。这样才真正测到系统能否区分指令层和数据层。
为什么评测集需要同时覆盖事实题、流程题、故障题和对比题？,评测集必须同时覆盖事实题、流程题、故障题和对比题，因为这四类题分别检验不同失效面。事实题看知识和证据绑定；流程题看步骤遵循与条件判断；故障题看排障与根因分析；对比题看边界、取舍与概念区分。如果只测一种，系统很容易过拟合到单一答题模式，例如只会背定义却不会定位问题，或只会排障却无法稳定给出精确定义。对企业级 RAG，这种单维高分没有真实价值。
在知识库经常变更的业务里，gold answer 应如何维护版本边界？,在知识频繁变更的业务里，gold answer 不应被维护成永远唯一正确的一句话，而应绑定版本边界。更稳妥的做法是为每条样本保存问题、标准答案、适用时间区间、对应知识源快照或文档版本、失效原因和替代答案。当知识库更新时，不是简单覆盖旧答案，而是新增版本并保留历史。这样测试结果才可解释：模型答错到底是能力问题，还是用旧索引回答了新问题。
如果要用这批数据测试 chunking 策略，答案文本应如何组织才更有区分度？,如果要用同一批数据顺便测试 chunking 策略，答案文本不应只是一小段单点事实，而应有层次化结构。理想答案至少包含定义、适用条件、反例或边界、常见误区、推荐做法中的两到三项，并把关键信息分散在不同句段中。这样不同切分策略会真实影响检索结果：切得过细会丢掉前提与约束，切得过粗会混入噪声。也就是说，答案要故意具有可分可合的语义结构，才能把 chunking 能力真正拉开差距。
